old_name,new_name
"email.svg","email.svg"
"settings.svg","settings.svg"
"json.svg","json.svg"
"radio-button-checked.svg","radio-button-checked.svg"
"generate-pdf.svg","generate-pdf.svg"
"arrow-down.svg","arrow-down.svg"
"collapse-categories.svg","collapse-categories.svg"
"bat.svg","bat.svg"
"edit.svg","edit.svg"
"notification.svg","notification.svg"
"group-security.svg","group-security.svg"
"chat.svg","chat.svg"
"edit-off.svg","edit-off.svg"
"chart-histogram.svg","chart-histogram.svg"
"in-progress.svg","in-progress.svg"
"apps.svg","apps.svg"
"next-filled.svg","next-filled.svg"
"logo-instagram.svg","logo-instagram.svg"
"email-2.svg","email-2.svg"
"document.svg","document.svg"
"Passkey--Streamline-Rounded-Material-Symbols.svg","passkey-streamline-rounded-material-symbols.svg"
"task.svg","task.svg"
"text-font.svg","text-font.svg"
"text-small-caps.svg","text-small-caps.svg"
"code.svg","code.svg"
"folder.svg","folder.svg"
"txt.svg","txt.svg"
"list-bulleted.svg","list-bulleted.svg"
"add-filled.svg","add-filled.svg"
"result.svg","result.svg"
"checkbox-checked-filled.svg","checkbox-checked-filled.svg"
"printer.svg","printer.svg"
"user-follow.svg","user-follow.svg"
"logo-facebook.svg","logo-facebook.svg"
"dashboard.svg","dashboard.svg"
"box.svg","box.svg"
"chart-line.svg","chart-line.svg"
"arrow-down-right.svg","arrow-down-right.svg"
"need.svg","need.svg"
"distribute-horizontal-center.svg","distribute-horizontal-center.svg"
"close-outline.svg","close-outline.svg"
"money.svg","money.svg"
"fingerprint-recognition.svg","fingerprint-recognition.svg"
"pricing-traditional.svg","pricing-traditional.svg"
"close-filled.svg","close-filled.svg"
"pen.svg","pen.svg"
"license-draft.svg","license-draft.svg"
"time.svg","time.svg"
"user-multiple.svg","user-multiple.svg"
"phrase-sentiment.svg","phrase-sentiment.svg"
"favorite-filled.svg","favorite-filled.svg"
"text-align-right.svg","text-align-right.svg"
"repeat.svg","repeat.svg"
"distribute-vertical-top.svg","distribute-vertical-top.svg"
"add-alt.svg","add-alt.svg"
"arrow-right.svg","arrow-right.svg"
"tablet.svg","tablet.svg"
"csv.svg","csv.svg"
"Begging-Hand-Coin-2--Streamline-Ultimate.svg","begging-hand-coin-2-streamline-ultimate.svg"
"checkbox-indeterminate-filled.svg","checkbox-indeterminate-filled.svg"
"user.svg","user.svg"
"arrow-up-right.svg","arrow-up-right.svg"
"arrow-left.svg","arrow-left.svg"
"group-account.svg","group-account.svg"
"folder-add.svg","folder-add.svg"
"align-horizontal-center.svg","align-horizontal-center.svg"
"phone-ip.svg","phone-ip.svg"
"stethoscope.svg","stethoscope.svg"
"event-schedule.svg","event-schedule.svg"
"piggy-bank.svg","piggy-bank.svg"
"bare-metal-server-02.svg","bare-metal-server-02.svg"
"wallet.svg","wallet.svg"
"report.svg","report.svg"
"service-desk.svg","service-desk.svg"
"Shield-Cross--Streamline-Core-Remix.svg","shield-cross-streamline-core-remix.svg"
"pdf.svg","pdf.svg"
"image.svg","image.svg"
"doc.svg","doc.svg"
"svg.svg","svg.svg"
"png.svg","png.svg"
"forum.svg","forum.svg"
"ppt.svg","ppt.svg"
"user-avatar-filled-alt.svg","user-avatar-filled-alt.svg"
"text-clear-format.svg","text-clear-format.svg"
"vmdk-disk.svg","vmdk-disk.svg"
"trash-can.svg","trash-can.svg"
"home.svg","home.svg"
"text-fill.svg","text-fill.svg"
"text-bold.svg","text-bold.svg"
"progress-bar.svg","progress-bar.svg"
"list-checked.svg","list-checked.svg"
"help-desk.svg","help-desk.svg"
"chart-column.svg","chart-column.svg"
"Briefcase--Streamline-Sharp-Streamline-Material-Free.svg","briefcase-streamline-sharp-streamline-material-free.svg"
"distribute-vertical-center.svg","distribute-vertical-center.svg"
"list-boxes.svg","list-boxes.svg"
"download.svg","download.svg"
"arrow-up-left.svg","arrow-up-left.svg"
"notification-2.svg","notification-2.svg"
"document-2.svg","document-2.svg"
"finance.svg","finance.svg"
"help-filled.svg","help-filled.svg"
"accessibility.svg","accessibility.svg"
"group-access.svg","group-access.svg"
"wmv.svg","wmv.svg"
"data-base.svg","data-base.svg"
"help.svg","help.svg"
"zip.svg","zip.svg"
"distribute-horizontal-right.svg","distribute-horizontal-right.svg"
"group.svg","group.svg"
"information.svg","information.svg"
"text-underline.svg","text-underline.svg"
"building.svg","building.svg"
"Shield-1--Streamline-Core-Remix.svg","shield-1-streamline-core-remix.svg"
"align-horizontal-right.svg","align-horizontal-right.svg"
"email-new.svg","email-new.svg"
"mp4.svg","mp4.svg"
"data-table.svg","data-table.svg"
"tif.svg","tif.svg"
"document-blank.svg","document-blank.svg"
"next-outline.svg","next-outline.svg"
"mp3.svg","mp3.svg"
"list-dropdown.svg","list-dropdown.svg"
"align-vertical-bottom.svg","align-vertical-bottom.svg"
"logo-youtube.svg","logo-youtube.svg"
"currency-dollar.svg","currency-dollar.svg"
"Shield-Check--Streamline-Core-Remix.svg","shield-check-streamline-core-remix.svg"
"wikis.svg","wikis.svg"
"Paper-Clip--Streamline-Heroicons.svg","paper-clip-streamline-heroicons.svg"
"gif.svg","gif.svg"
"text-indent-more.svg","text-indent-more.svg"
"distribute-vertical-bottom.svg","distribute-vertical-bottom.svg"
"export.svg","export.svg"
"checkbox-indeterminate.svg","checkbox-indeterminate.svg"
"text-align-left.svg","text-align-left.svg"
"reminder-medical.svg","reminder-medical.svg"
"arrow-up.svg","arrow-up.svg"
"text-indent-less.svg","text-indent-less.svg"
"cut.svg","cut.svg"
"mov.svg","mov.svg"
"text-align-center.svg","text-align-center.svg"
"ibm-watsonx-assistant.svg","ibm-watsonx-assistant.svg"
"Face-Scan-Circle-Fill--Streamline-Sharp-Fill-Streamline-Material-Free.svg","face-scan-circle-fill-streamline-sharp-fill-streamline-material-free.svg"
"Stripe--Streamline-Font-Awesome.svg","stripe-streamline-font-awesome.svg"
"data-format.svg","data-format.svg"
"text-align-justify.svg","text-align-justify.svg"
"bare-metal-server.svg","bare-metal-server.svg"
"screen.svg","screen.svg"
"checkbox.svg","checkbox.svg"
"Accounting-Coins--Streamline-Ultimate.svg","accounting-coins-streamline-ultimate.svg"
"arrow-down-left.svg","arrow-down-left.svg"
"expand-categories.svg","expand-categories.svg"
"chart-bar-stacked.svg","chart-bar-stacked.svg"
"Newspaper-Newsletter--Streamline-Atlas.svg","newspaper-newsletter-streamline-atlas.svg"
"Loading-Circle--Streamline-Ultimate.svg","loading-circle-streamline-ultimate.svg"
"Padlock-Square-1--Streamline-Core-Remix.svg","padlock-square-1-streamline-core-remix.svg"
"calendar-heat-map.svg","calendar-heat-map.svg"
"diagram.svg","diagram.svg"
"align-vertical-top.svg","align-vertical-top.svg"
"xls.svg","xls.svg"
"save.svg","save.svg"
"checkmark-filled.svg","checkmark-filled.svg"
"document-attachment.svg","document-attachment.svg"
"information-filled.svg","information-filled.svg"
"arrows-horizontal.svg","arrows-horizontal.svg"
"hearing.svg","hearing.svg"
"Cashing-Check--Streamline-Flex.svg","cashing-check-streamline-flex.svg"
"mobile.svg","mobile.svg"
"text-strikethrough.svg","text-strikethrough.svg"
"checkbox-checked.svg","checkbox-checked.svg"
"heat-map-03.svg","heat-map-03.svg"
"link.svg","link.svg"
"reminder.svg","reminder.svg"
"document-pdf.svg","document-pdf.svg"
"Business-Handshake--Streamline-Core.svg","business-handshake-streamline-core.svg"
"list.svg","list.svg"
"checkmark-outline.svg","checkmark-outline.svg"
"text-scale.svg","text-scale.svg"
"user-settings.svg","user-settings.svg"
"Print--Streamline-Sharp-Material-Symbols.svg","print-streamline-sharp-material-symbols.svg"
"distribute-horizontal-left.svg","distribute-horizontal-left.svg"
"Tabs--Streamline-Rounded-Material-Symbols.svg","tabs-streamline-rounded-material-symbols.svg"
"align-vertical-center.svg","align-vertical-center.svg"
"service-desk-2.svg","service-desk-2.svg"
"workspace.svg","workspace.svg"
"group-presentation.svg","group-presentation.svg"
"text-color.svg","text-color.svg"
"raw.svg","raw.svg"
"template.svg","template.svg"
"radio-button.svg","radio-button.svg"
"purchase.svg","purchase.svg"
"align-horizontal-left.svg","align-horizontal-left.svg"
